"company","percentage_laid_off"
"EVENTBRITE","0.45"
"GROUPON","0.44"
"EZCATER","0.44"
"VESALIUS THERAPEUTICS","0.43"
"BHARATAGRI","0.43"
"RENORUN","0.43"
"FUNDBOX","0.42"
"MAXMILHAS","0.42"
"ROVER","0.41"
"SHOP101","0.40"
"FLYHOMES","0.40"
"WAYFLYER","0.40"
"NCX","0.40"
"FORESIGHT INSURANCE","0.40"
"WAZIRX","0.40"
"HIRECT","0.40"
"PLERK","0.40"
"SWYFTX","0.40"
"DOMA","0.40"
"FABRIC","0.40"
"SIDECAR HEALTH","0.40"
"BRIZA","0.40"
"OCTOPUS NETWORK","0.40"
"STUDIO","0.40"
"HOLOGRAM","0.40"
"MEMMO","0.40"
"TCR2","0.40"
"ZAK","0.40"
"ALIEXPRESS RUSSIA","0.40"
"RASA","0.40"
"BOUNCE","0.40"
"SMARTNEWS","0.40"
"TIDEPOOL","0.40"
"LASTLINE","0.40"
"QUARTZ","0.40"
"MERCOS","0.40"
"NAMELY","0.40"
"LEVER","0.40"
"EDEN / MANAGED BY Q","0.40"
"JETTY","0.40"
"INCREDIBLE HEALTH","0.40"
"NATIVO","0.40"
"TAMARA MELLON","0.40"
"PEERFIT","0.40"
"GRAYMETA","0.40"
"ZIPRECRUITER","0.39"
"PIER","0.39"
"DISPATCH","0.38"
"ANTIDOTE HEALTH","0.38"
"GLOSSIER","0.38"
"LEMON","0.38"
"LEGIBLE","0.38"
"MINTED","0.37"
"LATCH","0.37"
"MOOVEL","0.37"
"USHIP","0.37"
"CONTRAFECT","0.37"
"BIZZABO","0.37"
"TOR","0.37"
"GLITCH","0.36"
"DIVERGENT 3D","0.36"
"ARTNIGHT","0.36"
"SHARE NOW","0.36"
"VSCO","0.35"
"OLA","0.35"
"LUNO","0.35"
"IMPALA","0.35"
"OPENDOOR","0.35"
"OLIVE AI","0.35"
"WHEN I WORK","0.35"
"CALLISTO MEDIA","0.35"
"KAZOO","0.35"
"MINDBODY","0.35"
"SPRINGLANE","0.35"
"LINKFIRE","0.35"
"TONAL","0.35"
"HYDROW","0.35"
"CALLISTO MEDIA","0.35"
"HUBILO","0.35"
"MADE.COM","0.35"
"BUTTON","0.35"
"UNBABEL","0.35"
"IRONNET","0.35"
"PICKYOURTRAIL","0.35"
"BONSAI","0.34"
"MATTERPORT","0.34"
"HAPPY MONEY","0.34"
"MISFITS MARKET","0.33"
"TWINE SOLUTIONS","0.33"
"PRIME TRUST","0.33"
"PRIMER","0.33"
"VALIDITY","0.33"
"TOMO","0.33"
"GEM","0.33"
"TRUEPILL","0.33"
"ELINVAR","0.33"
"JUNI","0.33"
"GYMPASS","0.33"
"LUNCHBOX","0.33"
"GATHER","0.33"
"METROMILE","0.33"
"CHIPPER CASH","0.33"
"CANDY DIGITAL","0.33"
"BREATHE","0.33"
"BRAVE CARE","0.33"
"WELKIN HEALTH","0.33"
"LAWGEEX","0.33"
"THIMBLE","0.33"
"BETTER.COM","0.33"
"GLOSSIER","0.33"
"NYDIG","0.33"
"WAVE SPORTS AND ENTERTAINMENT","0.33"
"SCOOP","0.33"
"NYRIAD","0.33"
"ONEFOOTBALL","0.32"
"BUSBUD","0.32"
"VEE","0.32"
"SWVL","0.32"
"CULTURE TRIP","0.32"
"CLINC","0.32"
"CLUE","0.31"
"COMMERCEHUB","0.31"
"AIRLIFT","0.31"
"OMIE","0.31"
"MESSAGEBIRD","0.31"
"LEAFLINK","0.31"
"OLIVE","0.31"
"CAREEM","0.31"
"GEEKWIRE","0.31"
"MYGATE","0.30"
"TRUCK IT IN","0.30"
"NOVA BENEFITS","0.30"
"HUOBI","0.30"
"BITMEX","0.30"
"GENESIS","0.30"
"ROWS","0.30"
"MAINSTREET","0.30"
"BIZPAY","0.30"
"REVELATE","0.30"
"FACILY","0.30"
"SUPERRARE","0.30"
"JD.ID","0.30"
"BIZZABO","0.30"
"AKILI LABS","0.30"
"SNAPPY","0.30"
"CLEARCO","0.30"
"ARRIVAL","0.30"
"BRYTER","0.30"
"BETTERFLY","0.30"
"PERSONALIS","0.30"
"BUSER","0.30"
"STEDI","0.30"
"HIBOB","0.30"
"TRUECAR","0.30"
"PROSUS","0.30"
"SHOGUN","0.30"
"HOOTSUITE","0.30"
"BYBIT","0.30"
"JUUL","0.30"
"DEPUTY","0.30"
"54GENE","0.30"
"UPSHOW","0.30"
"KRAKEN","0.30"
"LENDING CLUB","0.30"
"KUESKI","0.30"
"WHISPIR","0.30"
"SWEETESCAPE","0.30"
"ENVOY","0.30"
"ELLIPTIC","0.30"
"PITCH","0.30"
"CRYPTO.COM","0.30"
"CLUTTER","0.30"
"THIRDLOVE","0.30"
"ATOB","0.30"
"SYNAPSICA","0.30"
"ADROLL","0.30"
"TURO","0.30"
"THUMBTACK","0.30"
"HIBOB","0.30"
"PEERSTREET","0.30"
"BIRD","0.30"
"MOGO","0.30"
"RANGLE","0.30"
"COMMUNITY","0.30"
"BYBIT","0.30"
"CITYMALL","0.30"
"SWYFT","0.30"
"BILIBILI","0.30"
"FAREYE","0.30"
"BANXA","0.30"
"NUODB","0.29"
"HOPIN","0.29"
"OUTBOUNDENGINE","0.28"
"MEESHO","0.28"
"KINDE","0.28"
"PRISMA","0.28"
"GITPOD","0.28"
"RIGETTI COMPUTING","0.28"
"COMPETE","0.28"
"LATCH","0.28"
"BLEND","0.28"
"BITTITAN","0.27"
"ANODOT","0.27"
"RHUMBIX","0.27"
"EQUITYZEN","0.27"
"BRANCH","0.27"
"INFLUXDATA","0.27"
"CITRINE INFORMATICS","0.27"
"BOLT","0.27"
"UNCAPPED","0.26"
"DATAROBOT","0.26"
"GUMGUM","0.25"
